TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2016,1,30,5.0,2.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Theft from Vehicle,2016,1,30,2.0,15.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Theft from Vehicle,2016,1,7,9.0,0.0,5XX TAYLOR ST,Central Business District,492323.48,5458662.46
Theft from Vehicle,2016,5,29,20.0,53.0,1XX E 3RD AVE,Mount Pleasant,492531.81,5457276.01
Theft from Vehicle,2016,1,3,17.0,30.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,1,3,19.0,0.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,1,14,13.0,30.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,1,19,13.0,15.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,1,22,7.0,15.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,1,25,19.0,30.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,2,1,6.0,0.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,2,2,17.0,0.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,2,20,14.0,50.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,2,24,9.0,45.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,3,12,22.0,0.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,3,18,0.0,0.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,3,19,0.0,0.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,3,27,15.0,0.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,4,1,20.0,0.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
Theft from Vehicle,2016,4,2,20.0,45.0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.38
